"Category","売上金額","累計構成比"
"生ﾚﾓﾝｻﾜｰ60分飲み放題",305000,6.886990136926912
"元祖やみつきハラミ",285000,13.322374363235667
"生ビール",247380,18.908287871671664
"上ハラミ",205900,23.557570721485604
"カルビ",187720,27.796343798547635
"元祖やみつき塩タン",169860,31.631832797427652
"【3段】とくちゃんピラミッド",132480,34.62327034936233
"ハラミ",122740,37.39477582282596
"牛ホルモン",97280,39.591386972072684
"牛タン",95700,41.75232125438057
"上ミノ",93310,43.85928863036958
"キムチ盛り合わせ",91640,45.928546912821986
"冷麺",88320,47.922838614111775
"5種盛り合わせ",83200,49.801519202283316
"日替わりホルモンミックス",81780,51.64813577080096
"元祖やみつき牛塩タン",77720,53.40307633946313
"ご飯(大",76000,55.119178799812126
"焼きすきカルビ",66120,56.612187940315756
"黒毛和牛の特選カルビ",64000,58.05732685429386
"6秒焼きロース",63840,59.49885292098702
"せせり",59280,60.83741284005924
"タン",55480,62.09016763611401
"ご飯(中",49400,63.20563423534086
"ネギ塩牛タン",47880,64.28677878536072
"飲み放題延長30分",47400,65.35708479352576
"塩ラムジンギスカン",46980,66.4179070775678
"ウーロン茶",46200,67.46111673109574
"国産大判切り落としカルビ",41580,68.4000054192709
"たまごスープ",41040,69.32670074785936
"白センマイ刺し",40600,70.24346074641423
"ナムル盛り合わせ",39440,71.13402760215324
"チョレギサラダ",39360,72.02278803424977
"メガハイボール",37920,72.8790328407818
"白菜キムチ",37240,73.71992304635282
"コーラ",36600,74.54636186278405
"ハツ",36480,75.37009104375157
"ネギ塩上ハラミ",35910,76.18094945626648
"レバー",34200,76.95319556342352
"赤センマイ",33440,77.70828064597708
"石焼ビビンバ",31680,78.42362440839625
"とくちゃん特製石焼ビビンバ",31320,79.13083926442428
"コリコリ",30780,79.82586076086562
"ジューシー骨付きウインナー1本",30240,80.50868889772028
"コーンバター",29680,81.17887206907763
"【4段】とくちゃんピラミッド",29450,81.84386177246286
"ウィンナー",28500,82.48740019509373
"にんにくホイル焼き",27360,83.10519708081937
"豚トロ",26980,83.71441345424326
"もやしナムル",25080,84.28072726615842
