"Category","売上金額","累計構成比"
"生ﾚﾓﾝｻﾜｰ60分飲み放題",262000,6.374913014068606
"元祖やみつきハラミ",245100,12.338619807000725
"生ビール",215840,17.59038020759831
"上ハラミ",198940,22.430934387059413
"生タンユッケ",139620,25.828130398602386
"元祖やみつき塩タン",139460,29.221433333495547
"カルビ",134900,32.50378358386904
"厚切り牛タン",124120,35.52383779496139
"【3段】とくちゃんピラミッド",103680,38.04655146404014
"ハラミ",95380,40.36731178190985
"牛ホルモン",87400,42.49390490187014
"冷麺",82080,44.49105322322415
"5種盛り合わせ",71680,46.23515156234032
"上ミノ",66650,47.856861304278
"キムチ盛り合わせ",60320,49.32455120125746
"ご飯(大",59500,50.77228908040662
"牛タン",59160,52.21175417167494
"日替わりホルモンミックス",53940,53.52420763724311
"せせり",52640,54.80502985503155
"生牛タン刺し",52290,56.07733596764852
"焼きすきカルビ",50160,57.297815497364866
"黒毛和牛の特選カルビ",47360,58.45016618570948
"6秒焼きロース",47120,59.59667725907937
"ご飯(中",45200,60.69647141265151
"白センマイ刺し",44080,61.76901402967496
"タン",42940,62.813818475568496
"国産大判切り落としカルビ",42840,63.8561897485559
"ナムル盛り合わせ",41180,64.8581703513015
"メガハイボール",38880,65.80418797720603
"元祖やみつき牛塩タン",38860,66.74971896852934
"白菜キムチ",38380,67.68357072990321
"ウーロン茶",37350,68.5923608103439
"飲み放題延長30分",37200,69.4975011314254
"牛タンごろごろ焼き",37120,70.40069491418198
"まるちょう",36480,71.28831639033932
"ハツ",33820,72.11121546719352
"コーラ",32400,72.89956348878063
"ネギ塩タン",31820,73.67379910751217
"チョレギサラダ",31200,74.43294905422567
"ネギ塩牛タン",30240,75.16874054104031
"石焼ビビンバ",29760,75.8928527979055
"ジューシー骨付きウインナー1本",29120,76.60139274817145
"たまごスープ",28120,77.28560096937606
"牛タンソーセージ",26220,77.92357890536415
"レバー",25460,78.54306472726563
"タン刺し",24960,79.15038468463644
"豚トロ",24700,79.7513783924513
"コリコリ",23940,80.33387998617955
"レモンサワー",22800,80.8886434087779
"きゅうりキムチ",22420,81.43416077433292
"【4段】とくちゃんピラミッド",21700,81.9621592949638
"赤センマイ",21660,82.48918454643221
"豚バラ",20620,82.99090479967685
"もやしナムル",20140,83.48094582297205
"とくちゃん特製石焼ビビンバ",19720,83.96076752006148
"本日の赤字焼肉A",19600,84.43766940966356
"ネギ塩カルビ",19350,84.9084883670003
"ご飯(小",19200,85.37565756497784
"石焼チーズビビンバ",18020,85.81411532266301
"ウィンナー",17480,86.23943394665507
"にんにくホイル焼き",17100,86.65550651360383
"大瓶 アサヒ瓶ビール",16800,87.06427956183418
"センマイ焼き",16340,87.46186001469633
"黒毛和牛の肉寿司【1貫】",15960,87.85019441051516
"ハイボール",15770,88.23390577781234
