"Category","売上金額","累計構成比"
"生ﾚﾓﾝｻﾜｰ60分飲み放題",276000,6.921890478638695
"元祖やみつきハラミ",225720,12.582793083125384
"生ビール",212040,17.900610681279545
"上ハラミ",159500,21.900761157159515
"カルビ",153340,25.746423062936536
"本日の赤字焼肉B",128420,28.967108480569802
"元祖やみつき塩タン",127680,32.16923520634005
"生タンユッケ",126360,35.3382572385168
"厚切り牛タン",107300,38.02926755865424
"【3段】とくちゃんピラミッド",101760,40.58133848295233
"ハラミ",100320,43.09729519605753
"本日の赤字焼肉A",93540,45.44321416479617
"冷麺",77760,47.393381569212636
"上ミノ",67940,49.097270116744205
"牛ホルモン",66500,50.76504445308288
"キムチ盛り合わせ",61480,52.30692063651298
"本日の赤字焼肉C",61480,53.848796819943075
"焼きすきカルビ",52440,55.16395601088443
"ご飯(大",52000,56.46808030396128
"牛タン",49300,57.704490451051456
"日替わりホルモンミックス",46400,58.86817058948927
"5種盛り合わせ",46080,60.02382534766199
"まるちょう",45980,61.17697217450187
"せせり",45220,62.31105872321216
"ご飯(中",42200,63.36940574567069
"コリコリ",37620,64.31288951308514
"ナムル盛り合わせ",36540,65.22928762210492
"タン",34960,66.10606041606582
"生牛タン刺し",34860,66.98032527869388
"レバー",34580,67.84756793358999
"6秒焼きロース",34200,68.70528044942131
"牛タンごろごろ焼き",33640,69.54894854978872
"メガハイボール",33120,70.37957540722536
"白センマイ刺し",33060,71.2086975058623
"チョレギサラダ",30720,71.97913401131079
"ハツ",30020,72.73201499742939
"白菜キムチ",29260,73.4658357054184
"【4段】とくちゃんピラミッド",27900,74.16554854728079
"黒毛和牛の特選カルビ",26880,74.83968048954821
"ネギ塩タン",26660,75.50829498288338
"元祖やみつき牛塩タン",26100,76.16286506075465
"石焼ビビンバ",25440,76.80088279182918
"山本さんのキンパ",24960,77.42686245250607
"レモンサワー",24890,78.05108656124997
"ウーロン茶",24750,78.6717995661279
"ネギ塩牛タン",23940,79.27219832720982
"コーラ",23400,79.8590542590944
"メガハイボール",23280,80.44290067337958
"たまごスープ",23180,81.02423915633192
"飲み放題延長30分",23100,81.60357129421799
"豚トロ",22040,82.15631935997594
"ウィンナー",22040,82.70906742573389
"きゅうりキムチ",22040,83.26181549149184
"赤センマイ",21280,83.79550327912023
"国産大判切り落としカルビ",19530,84.2853022684239
"もやしナムル",19380,84.77133936072832
"黒毛和牛の肉寿司【1貫】",19380,85.25737645303273
"ハイボール",19190,85.73864847580475
"石焼チーズビビンバ",18020,86.19057770198253
"牛タンソーセージ",17860,86.63849423802777
"ご飯(小",16800,87.05982670194491
"大瓶 サッポロ瓶ビール",16800,87.48115916586205
"ネギ塩カルビ",16770,87.90173925037934
"ネギ塩上ハラミ",16380,88.31253840269855
"センマイ焼き",16340,88.72233438248462
"にんにくホイル焼き",16340,89.13213036227069
"とくちゃん特製石焼ビビンバ",16240,89.53941841072393
"タン刺し",15840,89.9366747338458
"大根キムチ",14440,90.29882001830792
"ジューシー骨付きウインナー1本",14000,90.64993040490553
"ジンジャー",13950,90.99978682583672
"コーンバター",13720,91.34387500470238
"豚バラ",13400,91.67993780330296
"ポテトサラダ",13300,92.0134926705707
"鶏もも",13020,92.34002533010649
"カルピス",12900,92.66354847204286
"大瓶 キリン瓶ビール",12800,92.9845636826464
"塩ラムジンギスカン",12180,93.29002971898632
"とくちゃん特製石焼チーズビビンバ",11340,93.57442913213039
"オレンジ",11100,93.85280951007564
"焼きしゃぶカルビ",10640,94.11965340388983
"石焼チゲスープ",10440,94.38148143503834
"上ハラミ飯ミニ",9880,94.62926505072294
"焼き野菜盛合せ",9120,94.85798838827796
"わかめスープ",8740,95.07718158676819
"ジャスミン茶",7500,95.2652764367312
"黒蜜きな粉アイス",7500,95.4533712866942
"韓国のり",7410,95.63920899845766
"カルピスサワー",7410,95.82504671022112
"ほうれん草ナムル",7220,96.00611935245217
"炙りマシュマロアイス",7000,96.18167454575098
"黒烏龍茶",6400,96.34218215105274
"ノンアルビール",6080,96.49466437608942
"翠ジンソーダ",6080,96.6471466011261
"ネギ塩ハラミ",6020,96.79812406736308
"大瓶 アサヒ瓶ビール",5600,96.93856822200212
"ネギ塩豚トロ",5160,97.06797747877667
"カシス",5040,97.19437721795181
"北海道メロンジェラート",4950,97.3185198189274
"ゆず蜜サワー",4940,97.4424116267697
"おたのしみラーメン",4740,97.56128757194632
"ネギ塩せせり",4730,97.67991272398966
"芋焼酎",4560,97.79427439276716
"梅酒",4560,97.90863606154467
"【5段】とくちゃんピラミッド",4500,98.02149297152248
"コークハイ",4370,98.13108957076759
"さくらアイス",4290,98.23867982494643
"はちみつ梅酒",3800,98.33398121559435
"ジンジャーハイ",3610,98.42451753670987
"緑茶",3600,98.51480306469212
"おたのしみチャーハン(ハーフ)",3420,98.60057431627524
"とろとろチーズ",3040,98.67681542879359
"麦焼酎",3040,98.75305654131193
"バニラアイス",3000,98.82829448129714
"チーズカルビ",2940,98.90202766248264
"ピーチ",2880,98.97425608486843
"北海道ミルクジェラート",2640,99.0404654720554
"いちごアイス",2640,99.10667485924237
"抹茶黒蜜きな粉アイス",2400,99.16686521123054
"ゼンマイナムル",2280,99.2240460456193
"翠ジンソーダ",2280,99.28122688000806
"ウーロンハイ",2090,99.33364264486443
"抹茶アイス",2000,99.38380127152122
"牛しぐれ焼きおにぎり",2000,99.43395989817802
"ゆず蜜シャーベット",1800,99.47910266216914
"ネギ塩鶏もも",1720,99.52223908109399
"トマトサワー",1710,99.56512470688556
"鶏ももバジル焼き",1680,99.60725795327727
"ジャスミンハイ",1520,99.64537850953644
"グレープフルーツサワー",1520,99.68349906579562
"生レモン追加",1500,99.72111803578822
"ゆず梅酒",1330,99.754473522515
"ネギ塩豚バラ",1290,99.78682583670863
"ゆずシャーベット",1200,99.81692101270271
"北海道味噌ラーメン",1160,99.84601301616365
"ネギ",1000,99.87109232949206
"おたのしみチャーハン",960,99.89516847028732
"豚バラガーリック",840,99.91623509348317
"白鹿ワンカップ",760,99.93529537161275
"緑茶ハイ",760,99.95435564974234
"やみつきニンニク",500,99.96689530640654
"おろしポン酢",400,99.9769270317379
"赤玉パンチ",380,99.9864571708027
"赤玉パンチ",380,99.99598730986749
"たまご",160,100
"冷やしトマト",0,100
"コチュジャン",0,100
"おろしニンニク",0,100
"お冷",0,100
"本日の赤字焼肉D",0,100
"トロたん",0,100
"たん食べ比べセット",0,100
"枝豆掴み取り",0,100
"レトルトカレー(お子様用)",0,100
"和牛ユッケ寿司30cm",0,100
"和牛ユッケ寿司50cm",0,100
"包み野菜",0,100
"100円一品",0,100
"きゅうり青唐辛子和え",0,100
"和牛ユッケネギまみれ",0,100
"ホタテバター",0,100
"1000ベロセット",0,100
"セセリと鶏ももの青唐焼き",0,100
"トニスプリン",0,100
"ホルモンの塩煮込み",0,100
