"Category","売上金額","累計構成比"
"生ﾚﾓﾝｻﾜｰ60分飲み放題",53000,7.839308957519821
"元祖やみつきハラミ",40280,13.797183765234884
"生ビール",39330,19.61454265767365
"上ハラミ",37120,25.105017157732814
"元祖やみつき塩タン",34580,30.219796473790083
"カルビ",25840,34.041829369305404
"【3段】とくちゃんピラミッド",23040,37.44971009348006
"ネギ塩牛タン",20790,40.52478996568453
"牛ホルモン",18240,43.22269553898947
"キムチ盛り合わせ",16240,45.62477813276536
"黒毛和牛の肉寿司【1貫】",15960,47.98544550940717
"白センマイ刺し",14500,50.130162110992785
"ハラミ",14440,52.26600402319252
"6秒焼きロース",14440,54.40184593539226
"焼きすきカルビ",12920,56.31286238314992
"日替わりホルモンミックス",12180,58.11442432848183
"元祖やみつき牛塩タン",12180,59.91598627381374
"上ミノ",11610,61.633238669979875
"冷麺",11520,63.337179032067205
"5種盛り合わせ",10240,64.85179268725594
"ご飯(大",9750,66.29392971246006
"牛タン",8700,67.58075967341142
"ご飯(中",8000,68.76405159152762
"【4段】とくちゃんピラミッド",7750,69.91036563720269
"黒毛和牛の特選カルビ",7680,71.04632587859425
"コリコリ",7600,72.17045320080463
"レバー",7220,73.2383741569045
"ハツ",6840,74.25008874689385
"もやしナムル",6080,75.14939060466216
"ナムル盛り合わせ",5800,76.00727724529641
"せせり",5700,76.8503727369542
"ウーロン茶",5400,77.64909478168263
"たまごスープ",5320,78.43598390722991
"コーラ",5250,79.21251922849366
"飲み放題延長30分",5100,79.96686782629274
"国産大判切り落としカルビ",5040,80.71234173470594
"チョレギサラダ",4800,81.42231688557567
"石焼チーズビビンバ",4770,82.12785469175245
"ネギ塩カルビ",4730,82.82747603833865
"ハイボール",4560,83.50195243166488
"タン",4180,84.12022245888059
"赤センマイ",4180,84.7384924860963
"石焼ビビンバ",3840,85.30647260679208
"鶏もも",3800,85.86853626789728
"ウィンナー",3800,86.43059992900248
"白菜キムチ",3800,86.99266359010768
"レモンサワー",3420,87.49852088510235
"翠ジンソーダ",3420,88.00437818009702
"豚トロ",3040,88.45402910898117
"ポテトサラダ",3040,88.90368003786533
"ジンジャー",3000,89.3474145071589
"黒蜜きな粉アイス",3000,89.79114897645248
"とくちゃん特製石焼ビビンバ",2900,90.2200922967696
"メガハイボール",2880,90.64607738729143
"コーンバター",2800,91.0602295586321
"大根キムチ",2660,91.45367412140574
"にんにくホイル焼き",2660,91.84711868417938
"わかめスープ",2660,92.24056324695302
"カルピス",2550,92.61773754585255
"オレンジ",2400,92.97272512128741
"大瓶 アサヒ瓶ビール",2400,93.32771269672227
"韓国のり",2280,93.6649508933854
"センマイ焼き",2280,94.00218909004852
"ゆず蜜サワー",2280,94.33942728671164
"ご飯(小",2250,94.67222813868182
"ネギ塩タン",2150,94.99023784167555
"はちみつ梅酒",2090,95.29937285528341
"メガハイボール",1920,95.5833629156313
"焼きしゃぶカルビ",1900,95.86439474618389
"豚バラ",1900,96.14542657673648
"きゅうりキムチ",1900,96.42645840728908
"ネギ塩上ハラミ",1890,96.70601112294403
"炙りマシュマロアイス",1750,96.96485623003196
"ほうれん草ナムル",1520,97.18968169447403
"ノンアルビール",1520,97.41450715891611
"ネギ塩ハラミ",1290,97.60531298071234
"ネギ塩せせり",1290,97.79611880250857
"とくちゃん特製石焼チーズビビンバ",1260,97.98248727961187
"ジャスミン茶",1200,98.1599810673293
"抹茶黒蜜きな粉アイス",1200,98.33747485504672
"焼き野菜盛合せ",1140,98.50609395337828
"とろとろチーズ",1140,98.67471305170984
"大瓶 サッポロ瓶ビール",800,98.79304224352147
"麦焼酎",760,98.90545497574251
"トマトサワー",760,99.01786770796356
"抹茶アイス",600,99.10661460182227
"ゆず蜜シャーベット",600,99.19536149568098
"生レモン追加",500,99.26931724056325
"カシス",480,99.34031475565023
"ネギ塩豚バラ",430,99.40391669624897
"バニラアイス",400,99.46308129215478
"ゆずシャーベット",400,99.5222458880606
"黒烏龍茶",400,99.58141048396641
"ゼンマイナムル",380,99.63761685007692
"コークハイ",380,99.69382321618744
"ジンジャーハイ",380,99.75002958229796
"白鹿ワンカップ",380,99.80623594840847
"芋焼酎",380,99.86244231451899
"緑茶",300,99.90681576144834
"たまご",240,99.94231451899182
"グレープフルーツサワー",190,99.97041770204709
"ネギ",100,99.98520885102354
"おろしポン酢",100,100
"冷やしトマト",0,100
"やみつきニンニク",0,100
"コチュジャン",0,100
"おろしニンニク",0,100
"カルピスサワー",0,100
"ウーロンハイ",0,100
"緑茶ハイ",0,100
"ジャスミンハイ",0,100
"梅酒",0,100
"ピーチ",0,100
"お冷",0,100
"【5段】とくちゃんピラミッド",0,100
"ネギ塩豚トロ",0,100
"ネギ塩鶏もも",0,100
"赤玉パンチ",0,100
"翠ジンソーダ",0,100
"赤玉パンチ",0,100
"ゆず梅酒",0,100
"大瓶 キリン瓶ビール",0,100
"上ハラミ飯ミニ",0,100
"ジューシー骨付きウインナー1本",0,100
"生タンユッケ",0,100
"厚切り牛タン",0,100
"牛タンごろごろ焼き",0,100
"まるちょう",0,100
"石焼チゲスープ",0,100
"本日の赤字焼肉A",0,100
"本日の赤字焼肉B",0,100
"本日の赤字焼肉C",0,100
"本日の赤字焼肉D",0,100
"鶏ももバジル焼き",0,100
"豚バラガーリック",0,100
"トロたん",0,100
"たん食べ比べセット",0,100
"枝豆掴み取り",0,100
"レトルトカレー(お子様用)",0,100
"和牛ユッケ寿司30cm",0,100
"和牛ユッケ寿司50cm",0,100
"包み野菜",0,100
"100円一品",0,100
"きゅうり青唐辛子和え",0,100
"和牛ユッケネギまみれ",0,100
"ホタテバター",0,100
"1000ベロセット",0,100
"セセリと鶏ももの青唐焼き",0,100
"トニスプリン",0,100
"ホルモンの塩煮込み",0,100
"袋詰め放題",0,100
"牛並ハラミ",0,100
"肉カレーハーフ",0,100
"豆腐と豆の和風サラダ",0,100
"コース",0,100
