"Category","売上金額","累計構成比"
"生ビール",250873,6.208370794205128
"元祖やみつきハラミ",224580,11.76606697100609
"生ﾚﾓﾝｻﾜｰ60分飲み放題",194000,16.566997856656577
"上ハラミ",180340,21.02988381499786
"元祖やみつき塩タン",133380,24.330647534214673
"カルビ",124640,27.415121892913007
"本日の赤字焼肉A",121360,30.41842587375086
"ハラミ",84740,32.515492282256126
"和牛ユッケネギまみれ",78400,34.45566228965303
"ご飯(中",74300,36.29436932472432
"本日の赤字焼肉C",73860,38.12218765057043
"本日の赤字焼肉B",73140,39.932188088593506
"日替わりホルモンミックス",70760,41.68329050853489
"冷麺",70080,43.417564923310074
"牛タン",69600,45.139960746203236
"ご飯(大",67150,46.80172625636525
"キムチ盛り合わせ",66120,48.43800228811376
"上ミノ",63210,50.002264356577506
"5種盛り合わせ",60160,51.49104787245757
"焼きすきカルビ",57380,52.9110345436876
"牛ホルモン",57380,54.33102121491763
"本日の赤字焼肉D",56340,55.725270937069936
"厚切り牛タン",54780,57.08091523560568
"白センマイ刺し",54520,58.43012529687199
"生タンユッケ",53950,59.765229530278404
"6秒焼きロース",45600,60.893695759070475
"せせり",45040,62.00830363066686
"まるちょう",43700,63.08975043325926
"元祖やみつき牛塩タン",40600,64.09448132994694
"ハイボール",38760,65.0536776244202
"飲み放題延長30分",37500,65.98169261520316
"タン",36480,66.88446559823682
"レバー",36100,67.77783469603054
"トロたん",33880,68.61626530636991
"ナムル盛り合わせ",33640,69.44875662076828
"メガハイボール",33120,70.26837946062778
"牛並ハラミ",30680,71.02761945842035
"ウーロン茶",29550,71.75889527115731
"たまごスープ",29260,72.48299443463223
"ネギ塩タン",28380,73.18531617965677
"国産大判切り落としカルビ",28350,73.88689551268868
"コーラ",27900,74.5773386658312
"白菜キムチ",27740,75.26382228834639
"チョレギサラダ",27360,75.94090202562164
"レモンサワー",26790,76.60387593503698
"ウィンナー",25840,77.2433401313525
"石焼ビビンバ",25560,77.87587514907015
"ご飯(小",25450,78.50568798948152
"とくちゃん特製石焼ビビンバ",23460,79.08625416771534
"ハツ",23180,79.6598911673513
"もやしナムル",23180,80.23352816698727
"にんにくホイル焼き",23180,80.80716516662324
"コリコリ",22800,81.37139828101927
"ネギ塩牛タン",22680,81.9326617474448
"黒毛和牛の特選カルビ",22080,82.4790769740178
"牛タンごろごろ焼き",21460,83.01014901940987
"メガハイボール",20640,83.5209284703368
"たん食べ比べセット",20640,84.03170792126373
"きゅうりキムチ",20140,84.53011383898023
"豚トロ",19380,85.00971198621686
"和牛ユッケ寿司30cm",19240,85.48584554415457
"包み野菜",19200,85.96098921943545
"豚バラ",19000,86.43118348143214
"赤センマイ",18240,86.88256997294897
"センマイ焼き",17860,87.32455257922587
"ジューシー骨付きウインナー1本",17640,87.76109083089017
"鶏もも",17400,88.19168978661347
"ネギ塩カルビ",16770,88.6066980904916
"枝豆掴み取り",16340,89.01106515580877
"コーンバター",16240,89.41295751448384
"ネギ塩上ハラミ",14490,89.77154250692237
"上ハラミ飯ミニ",14440,90.12889014603986
"石焼チーズビビンバ",14120,90.47831872390267
"焼きしゃぶカルビ",13680,90.8168585925403
"ポテトサラダ",13300,91.14599457593799
"黒毛和牛の肉寿司【1貫】",12920,91.46572667409575
"冷やしトマト",11200,91.74289381800959
"カルピス",10950,92.01387419531821
"焼き野菜盛合せ",10640,92.27718298203636
"わかめスープ",9880,92.52168399827465
"ジンジャー",9750,92.76296789587822
"とくちゃん特製石焼チーズビビンバ",9420,92.9960852615629
"オレンジ",9300,93.22623297927707
"炙りマシュマロアイス",9100,93.45143128370707
"ほうれん草ナムル",8360,93.6583167589856
"韓国のり",8170,93.86050029164419
"カルピスサワー",8170,94.06268382430277
"ホタテバター",8160,94.26461988629714
"袋詰め放題",8100,94.46507112430626
"黒蜜きな粉アイス",7800,94.65809824238912
"大根キムチ",7600,94.84617594718779
"石焼チゲスープ",7540,95.03276882800121
"鶏ももバジル焼き",7140,95.20946288224629
"1000ベロセット",7000,95.38269234719243
"トニスプリン",6720,95.54899263354073
"芋焼酎",6650,95.71356062523958
"ネギ塩ハラミ",6450,95.87317920365425
"大瓶 アサヒ瓶ビール",6400,96.03156042874787
"ジャスミン茶",6300,96.1874669471994
"豚バラガーリック",6300,96.34337346565093
"翠ジンソーダ",6080,96.49383562948987
