"Category","売上金額","累計構成比"
"生ﾚﾓﾝｻﾜｰ60分飲み放題",234000,6.420316735625624
"生ビール",211090,12.21204605068209
"元祖やみつきハラミ",182020,17.206174478966602
"上ハラミ",153700,21.423279958734373
"本日の赤字焼肉A",151040,25.567402350823663
"カルビ",118760,28.8258502804087
"生タンユッケ",115440,31.993206536650675
"元祖やみつき塩タン",97280,34.66230231460649
"厚切り牛タン",87000,37.04934315221089
"【3段】とくちゃんピラミッド",79680,39.235543312444435
"ハラミ",78660,41.3937574766509
"牛ホルモン",72960,43.39557931011776
"本日の赤字焼肉B",71540,45.35844024715476
"上ミノ",70950,47.30511320609766
"5種盛り合わせ",62720,49.02597758925338
"冷麺",61920,50.72489217160354
"キムチ盛り合わせ",61480,52.411734363510654
"ご飯(大",51500,53.82475279036843
"トロたん",51040,55.22515008176301
"日替わりホルモンミックス",45820,56.48232492290133
"牛タン",43500,57.67584534170353
"白センマイ刺し",43500,58.86936576050573
"ご飯(中",42400,60.03270520320029
"焼きすきカルビ",41420,61.16915613990803
"たん食べ比べセット",38760,62.232623988937306
"生牛タン刺し",38180,63.280178232382546
"まるちょう",37240,64.30194145988126
"6秒焼きロース",34960,65.26114775508414
"せせり",34780,66.21541534510575
"ナムル盛り合わせ",33640,67.13840446897946
"メガハイボール",33600,68.06029610281288
"チョレギサラダ",29760,68.87682869277963
"本日の赤字焼肉C",29580,69.68842257756512
"ウーロン茶",27150,70.43334394240374
"石焼ビビンバ",26880,71.17085724947047
"赤センマイ",26220,71.89026197087263
"コリコリ",25840,72.59924053689214
"牛タンごろごろ焼き",25520,73.29943918258942
"レモンサワー",25270,73.99277851553498
"飲み放題延長30分",25200,74.68419724091005
"レバー",25080,75.37232349616428
"たまごスープ",24320,76.03959744065324
"コーラ",24300,76.70632264012205
"ハツ",23940,77.36317042922836
"きゅうりキムチ",23940,78.02001821833467
"元祖やみつき牛塩タン",23780,78.67247604727987
"白菜キムチ",23560,79.31889768100355
"国産大判切り落としカルビ",23310,79.95846000197548
"【4段】とくちゃんピラミッド",23250,80.59637608788701
"本日の赤字焼肉D",21660,81.19066694469748
"ネギ塩タン",20640,81.75697180548087
"【5段】とくちゃんピラミッド",20250,82.31257613837155
"メガハイボール",19680,82.85254123818828
"ウィンナー",19380,83.38427516270292
"牛タンソーセージ",19000,83.90558293183491
"タン",18620,84.41646454558428
"もやしナムル",18620,84.92734615933364
"黒毛和牛の特選カルビ",17920,85.41902169737813
"鶏もも",17860,85.9090510003622
"カルピス",16650,86.36588122962786
"黒毛和牛の肉寿司【1貫】",16340,86.81420591108137
"ハイボール",16150,87.25731751484356
"豚トロ",15960,87.69521604091445
"ご飯(小",15750,88.12735274427386
"にんにくホイル焼き",15580,88.5548251149621
"センマイ焼き",14820,88.96144517488506
"ネギ塩牛タン",14490,89.35901094197573
"大根キムチ",13680,89.73435253575076
"ネギ塩カルビ",13330,90.10009109167336
"タン刺し",12960,90.4556778647234
"大瓶 サッポロ瓶ビール",12800,90.80687467761233
"ジューシー骨付きウインナー1本",11760,91.12953674945402
"石焼チーズビビンバ",11660,91.44945509619502
"とくちゃん特製石焼ビビンバ",11600,91.76772720787561
"ジンジャー",10950,92.06816510640168
"炙りマシュマロアイス",10850,92.36585927982705
"黒蜜きな粉アイス",10500,92.65395041539999
"オレンジ",9600,92.91734802506669
"ポテトサラダ",9500,93.17800190963268
"焼き野菜盛合せ",9500,93.43865579419868
"韓国のり",9120,93.68888352338203
