"Category","売上金額","累計構成比"
"生ﾚﾓﾝｻﾜｰ60分飲み放題",481500,6.977108129961136
"元祖やみつきハラミ",446500,13.447053675189895
"生ビール",399190,19.231460309456118
"上ハラミ",338140,24.13123049235344
"元祖やみつき塩タン",318820,28.751046928478484
"カルビ",267140,32.622001582347266
"【3段】とくちゃんピラミッド",240960,36.11359862283623
"牛ホルモン",174800,38.64651347458536
"ハラミ",158840,40.94816218769653
"上ミノ",155230,43.19750070278245
"キムチ盛り合わせ",142100,45.2565807967959
"冷麺",133920,47.19712974957761
"白センマイ刺し",133400,49.13014371538616
"牛タン",114840,50.79421660769091
"6秒焼きロース",112100,52.4185859147909
"焼きすきカルビ",108680,53.99339819218275
"5種盛り合わせ",106240,55.53285399223898
"ご飯(大",103250,57.02898361719949
"日替わりホルモンミックス",102660,58.51656393001738
"せせり",92340,59.85460373213703
"元祖やみつき牛塩タン",84100,61.073242971451116
"ナムル盛り合わせ",80620,62.24145575948324
"ご飯(中",80000,63.40068452458581
"ネギ塩牛タン",79380,64.55092926675884
"国産大判切り落としカルビ",74970,65.63727152325559
"たまごスープ",74860,66.72201984020033
"ハツ",66500,67.68562875119184
"とくちゃん特製石焼ビビンバ",65540,68.63532691700213
"黒毛和牛の特選カルビ",65280,69.58125758932583
"チョレギサラダ",64320,70.5132775164683
"石焼ビビンバ",62400,71.41747595324831
"白菜キムチ",60420,72.29298347809204
"黒毛和牛の肉寿司【1貫】",60040,73.16298466630153
"ウーロン茶",58050,74.00415003897908
"コリコリ",57380,74.8356068707489
"レバー",57000,75.66155736588449
"ネギ塩タン",55900,76.47156846549991
"タン",55100,77.26998727746431
"メガハイボール",49920,77.99334602688832
"もやしナムル",49020,78.70366345270492
"【4段】とくちゃんピラミッド",48050,79.39992522974465
"石焼チーズビビンバ",47700,80.09111538093707
"赤センマイ",47120,80.77390112358249
"レモンサワー",45410,81.43190835137383
"豚トロ",44840,82.08165607421383
"飲み放題延長30分",43500,82.71198671523835
"ウィンナー",43320,83.3397090915414
"コーラ",43050,83.96351907076222
"【売切御免】希少部位カルビ一本漬け",42570,84.58037367739243
"ハイボール",41040,85.17505803389005
"【5段】とくちゃんピラミッド",38250,85.72931428720473
"鶏もも",38000,86.27994795062845
"ネギ塩カルビ",37410,86.82203230190954
"にんにくホイル焼き",36100,87.34513428216208
"焼きしゃぶカルビ",34200,87.84070457924344
"大瓶 アサヒ瓶ビール",33600,88.32758066058652
"きゅうりキムチ",32300,88.79561927449669
"ご飯(小",32250,89.26293337042867
"センマイ焼き",29260,89.68692129126494
"ポテトサラダ",29260,90.1109092121012
"コーンバター",25480,90.48012357378637
"ジンジャー",24900,90.84093352692454
"とくちゃん特製石焼チーズビビンバ",24570,91.19696166140668
"ネギ塩ハラミ",23650,91.53965866509013
"カルピス",23100,91.8743859710135
"豚バラ",20900,92.17723448589655
"大根キムチ",20900,92.4800830007796
"わかめスープ",20900,92.78293151566265
"炙りマシュマロアイス",20650,93.08215744065475
"ネギ塩上ハラミ",19530,93.36515416293543
"【数量限定】壺漬け味噌ロース",17640,93.62076410564055
"翠ジンソーダ",17100,93.86854925418122
"メガハイボール",16800,94.11198729485275
"大瓶 キリン瓶ビール",16800,94.35542533552429
"ネギ塩せせり",16340,94.59219781079649
"黒蜜きな粉アイス",16200,94.82694163572977
"オレンジ",16050,95.05951190672847
"韓国のり",15770,95.28802487704932
"焼き野菜盛合せ",14820,95.50277200578458
"大瓶 サッポロ瓶ビール",14400,95.71143318350305
"バニラアイス",12000,95.88531749826844
"ほうれん草ナムル",11780,96.05601393392979
"とろとろチーズ",11780,96.22671036959115
"芋焼酎",11590,96.39465363693539
"ジャスミン茶",11100,96.55549662809337
"ピーチ",11040,96.71547019767752
"ゆず蜜サワー",11020,96.87515396007039
"カシス",10800,97.03164984335925
"ネギ塩鶏もも",10320,97.18119035405748
"ジンジャーハイ",10260,97.32986144318188
"梅酒",9880,97.47302619567205
"黒烏龍茶",9400,97.6092355755716
"麦焼酎",8740,97.73588131815906
"【ボトル】赤霧島",8700,97.86194744636397
"【ボトル】黒霧島",8700,97.98801357456888
"トマトサワー",8550,98.11190614883922
"【ボトル】アンジュエール 白",8400,98.233625169175
"ネギ塩豚トロ",8170,98.3520114068111
"赤玉パンチ",7980,98.46764447613009
"はちみつ梅酒",7600,98.57777120881484
"ゆずシャーベット",7200,98.68210179767406
"ノンアルビール",7030,98.78396902540746
"ウーロンハイ",6460,98.8775767481895
"ジャスミンハイ",6080,98.9656781343373
"抹茶黒蜜きな粉アイス",6000,99.05262029171999
"ゼンマイナムル",5700,99.13521534123355
"抹茶アイス",5600,99.21636135479072
"カルピスサワー",5130,99.29069689935292
"翠ジンソーダ",5130,99.36503244391513
"グレープフルーツサワー",4560,99.43110848352597
"緑茶",4350,99.49414154762843
"コークハイ",4180,99.55471125060504
"ネギ塩豚バラ",3870,99.61078894211687
"上ハラミ飯ミニ",3800,99.66585230845924
"緑茶ハイ",3420,99.71540933816738
"ゆず梅酒",3230,99.76221319955839
"白鹿ワンカップ",3040,99.80626389263229
"ゆず蜜シャーベット",2700,99.8453878634545
"【ボトル】二階堂",2700,99.88451183427672
"生レモン追加",1950,99.9127680354261
"ネギ",1800,99.9388506826409
"赤玉パンチ",1520,99.96087602917785
"やみつきニンニク",1200,99.97826446065439
"たまご",800,99.98985674830541
"おろしポン酢",700,100
"冷やしトマト",0,100
"コチュジャン",0,100
"おろしニンニク",0,100
"お冷",0,100
"ジューシー骨付きウインナー1本",0,100
"生タンユッケ",0,100
"厚切り牛タン",0,100
"牛タンごろごろ焼き",0,100
"まるちょう",0,100
"石焼チゲスープ",0,100
"本日の赤字焼肉A",0,100
"本日の赤字焼肉B",0,100
"本日の赤字焼肉C",0,100
"本日の赤字焼肉D",0,100
"鶏ももバジル焼き",0,100
"豚バラガーリック",0,100
"トロたん",0,100
"たん食べ比べセット",0,100
"枝豆掴み取り",0,100
"レトルトカレー(お子様用)",0,100
"和牛ユッケ寿司30cm",0,100
"和牛ユッケ寿司50cm",0,100
"包み野菜",0,100
"100円一品",0,100
"きゅうり青唐辛子和え",0,100
"和牛ユッケネギまみれ",0,100
"ホタテバター",0,100
"1000ベロセット",0,100
"セセリと鶏ももの青唐焼き",0,100
"トニスプリン",0,100
"ホルモンの塩煮込み",0,100
"袋詰め放題",0,100
"牛並ハラミ",0,100
"肉カレーハーフ",0,100
"豆腐と豆の和風サラダ",0,100
"コース",0,100
