"Category","売上金額","累計構成比"
"生ﾚﾓﾝｻﾜｰ60分飲み放題",344000,7.538751153275522
"元祖やみつきハラミ",284240,13.76786344341225
"生ビール",247570,19.193353626599517
"上ハラミ",210540,23.80733231209553
"元祖やみつき塩タン",196080,28.104420469462575
"【3段】とくちゃんピラミッド",167040,31.765097773657757
"カルビ",164920,35.37931533237345
"ハラミ",144400,38.54383761880655
"牛ホルモン",115900,41.08378313818048
"上ミノ",109220,43.47733662934546
"牛タン",93960,45.53646761295525
"冷麺",93600,47.58770920582324
"6秒焼きロース",92340,49.61133793109493
"キムチ盛り合わせ",91640,51.619626174368676
"5種盛り合わせ",88320,53.5551567030236
"日替わりホルモンミックス",84100,55.3982060402052
"ご飯(大",71500,56.965126701423806
"元祖やみつき牛塩タン",58000,58.23619520982491
"焼きすきカルビ",57380,59.493676434170695
"ナムル盛り合わせ",51040,60.61221672156367
"飲み放題延長30分",50700,61.7233059177005
"せせり",49400,62.80590564726972
"タン",48640,63.87184999638402
"ハツ",47120,64.9044835845885
"ご飯(中",45400,65.89942341702661
"白センマイ刺し",42340,66.82730342815942
"メガハイボール",42240,67.75299194186395
"たまごスープ",42180,68.67736555711151
"コリコリ",41420,69.58508379190417
"白菜キムチ",41040,70.48447433646936
"チョレギサラダ",40800,71.3786052872067
"ネギ塩タン",39990,72.25498510877497
"ネギ塩牛タン",39690,73.12479043805843
"レバー",39520,73.9908702217138
"ウーロン茶",37500,74.81268175731797
"塩ラムジンギスカン",37120,75.62616560269468
"石焼ビビンバ",36000,76.41510467687468
"国産大判切り落としカルビ",32760,77.13303923437847
"とくちゃん特製石焼ビビンバ",32480,77.84483759908309
"黒毛和牛の特選カルビ",32000,78.54611677613198
"赤センマイ",31160,79.22898737478333
"【4段】とくちゃんピラミッド",31000,79.90835157754944
"ウィンナー",28500,80.5329283446086
"レモンサワー",28310,81.15334126655404
"豚トロ",27740,81.76126265315828
"にんにくホイル焼き",27740,82.36918403976253
"石焼チーズビビンバ",27560,82.97316073099589
"もやしナムル",27360,83.57275442737269
"コーラ",27300,84.17103322529252
"黒毛和牛の肉寿司【1貫】",26980,84.76229923144186
"ハイボール",25840,85.32858216690883
"鶏もも",25460,85.88653741214836
"きゅうりキムチ",25080,86.43616496716042
"ネギ塩カルビ",24940,86.9827244257729
"上ハラミ飯ミニ",24700,87.5240242905575
"コーンバター",24640,88.06400925688514
"ご飯(小",22350,88.55380893210523
"北海道じゃがバタ醤油のホイル焼き",21660,89.02848727507019
"メガハイボール",21600,89.50185071957819
"【5段】とくちゃんピラミッド",20250,89.94562894880444
"焼きしゃぶカルビ",19000,90.36201346017721
"豚バラ",19000,90.77839797154998
"センマイ焼き",18620,91.1864547926953
"とくちゃん特製石焼チーズビビンバ",16380,91.5454220714472
"大瓶 アサヒ瓶ビール",16000,91.89606165997165
"翠ジンソーダ",15580,92.23749695929733
"ポテトサラダ",15200,92.57060456839555
"大根キムチ",15200,92.90371217749377
"カルピス",14550,93.22257505330819
"ネギ塩上ハラミ",14490,93.54012303066564
"わかめスープ",14060,93.8482475690815
"大瓶 サッポロ瓶ビール",12800,94.12875923990104
"焼き野菜盛合せ",12540,94.40357301740707
"黒蜜きな粉アイス",12300,94.67312720108524
"ネギ塩ハラミ",11610,94.92756005250828
"ほうれん草ナムル",11400,95.17739075933194
"ネギ塩せせり",11180,95.4224001718134
"ジンジャー",10950,95.6623691402098
"大瓶 キリン瓶ビール",10400,95.8902848727507
"韓国のり",9310,96.09431328332336
"オレンジ",9000,96.29154805186836
"ジンジャーハイ",7980,96.46642954664493
"北海道味噌ラーメン",7540,96.63166845273707
"ジャスミン茶",7500,96.79603075985791
"とろとろチーズ",7220,96.95425687417956
"バニラアイス",7200,97.11204468901556
"ゆず蜜サワー",6840,97.26194311310977
"黒烏龍茶",6800,97.41096493823265
"麦焼酎",6650,97.55669951721312
"炙りマシュマロアイス",6650,97.70243409619358
"芋焼酎",6270,97.8398409849466
"ネギ塩豚トロ",5590,97.96234569118734
"梅酒",5510,98.08309719948544
"北海道メロンジェラート",4950,98.19157632218518
"グレープフルーツサワー",4940,98.2998362951421
"カシス",4800,98.40502817169943
