"Category","売上金額","累計構成比"
"生ﾚﾓﾝｻﾜｰ60分飲み放題",244500,6.706622961611784
"元祖やみつきハラミ",220020,12.741760728539493
"生ビール",190570,17.96908644548983
"上ハラミ",166460,22.53507604953849
"元祖やみつき塩タン",149340,26.63146489652051
"カルビ",134900,30.33176525448137
"【3段】とくちゃんピラミッド",120960,33.64969209880268
"ハラミ",99180,36.370194615500665
"牛ホルモン",93860,38.94476979413822
"牛タン",92800,41.49026922496674
"5種盛り合わせ",72960,43.49155843265261
"冷麺",69600,45.400683005774
"上ミノ",66220,47.217094345315644
"キムチ盛り合わせ",66120,49.030762689780964
"焼きすきカルビ",62320,50.74019722134598
"6秒焼きロース",56620,52.29328103356054
"日替わりホルモンミックス",55100,53.80467132061497
"白センマイ刺し",55100,55.316061607669404
"ご飯(大",49750,56.680701658140514
"ご飯(中",49600,58.04122721599714
"元祖やみつき牛塩タン",45820,59.29806755996872
"せせり",42560,60.465486264452146
"ナムル盛り合わせ",40020,61.56323289399695
"国産大判切り落としカルビ",37800,62.60008503284736
"ハツ",36860,63.61115301798033
"塩ラムジンギスカン",35960,64.59753404742638
"レバー",35340,65.56690850739922
"ネギ塩牛タン",34650,66.51735630134543
"タン",33820,67.44503723615816
"飲み放題延長30分",33300,68.35845459657399
"【4段】とくちゃんピラミッド",32550,69.2512994939174
"コリコリ",32300,70.13728690357
"チョレギサラダ",32160,71.01943412011575
"メガハイボール",32160,71.9015813366615
"ウーロン茶",32100,72.78208275616144
"黒毛和牛の特選カルビ",32000,73.65984118058508
"たまごスープ",31160,74.51455844636759
"豚トロ",30400,75.34842894957004
"石焼ビビンバ",30240,76.17791066065037
"白菜キムチ",30020,77.00135778256279
"赤センマイ",30020,77.82480490447522
"コーンバター",29120,78.62356507070072
"とくちゃん特製石焼ビビンバ",29000,79.41903364283463
"ハイボール",28690,80.20599893023194
"黒毛和牛の肉寿司【1貫】",28500,80.98775252698424
"北海道じゃがバタ醤油のホイル焼き",27740,81.74865936115647
"ウィンナー",25840,82.45744928887855
"ネギ塩タン",25800,83.1651420185701
"コーラ",24900,83.84814779257474
"にんにくホイル焼き",23560,84.49439743255664
"鶏もも",21660,85.08853016608838
"レモンサワー",21470,85.6774512089751
"石焼チーズビビンバ",21200,86.25896616515575
"上ハラミ飯ミニ",20900,86.83225213610744
"メガハイボール",20880,87.40498950804385
"きゅうりキムチ",19760,87.94700533512544
"ネギ塩カルビ",18920,88.4659800035659
"ご飯(小",17250,88.93914665423176
"もやしナムル",16720,89.39777543099311
"焼きしゃぶカルビ",16340,89.84598082646443
"豚バラ",14820,90.25249269677562
"北海道味噌ラーメン",14500,90.65022698284257
"大瓶 サッポロ瓶ビール",13600,91.02327431322261
"【5段】とくちゃんピラミッド",13500,91.39357864852633
"カルピス",13200,91.75565399860108
"ポテトサラダ",12540,92.09962558117209
"ジンジャー",12300,92.43701397555992
"とくちゃん特製石焼チーズビビンバ",11970,92.76535048619589
"韓国のり",11590,93.08326361554182
"ほうれん草ナムル",11400,93.39596505424274
"黒蜜きな粉アイス",11100,93.70043750771468
